Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
09/10/2015,Completed,09/10/2015,15-04694203,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,3144 N NEW ENGLAND AVE,60634,1129873.75080903,1920129.48123136,36,25,18,,41.93763623040684,-87.79828298832773,"(41.93763623040684, -87.79828298832773)"
09/10/2015,Completed,09/10/2015,15-04694285,Graffiti Removal,Metal - Painted,Traffic Control Box,4759 N KEELER AVE,60630,1147523.7700696,1931354.44769601,39,17,14,,41.968132332435616,-87.73281954187092,"(41.968132332435616, -87.73281954187092)"
09/10/2015,Completed,09/10/2015,15-04694273,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,3625 N KILPATRICK AVE,60641,1144420.17539882,1923803.98747514,30,17,15,,41.94695712241208,-87.74440949993483,"(41.94695712241208, -87.74440949993483)"
09/10/2015,Completed,09/10/2015,15-04696155,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1244 N MILWAUKEE AVE,60622,1165362.68330894,1908434.35782437,1,14,24,33,41.90429950785794,-87.66817490203533,"(41.90429950785794, -87.66817490203533)"
09/10/2015,Completed,09/10/2015,15-04694414,Graffiti Removal,Brick - Painted,Front,2755 W 61ST ST,60629,1158974.8588826,1864083.85261313,16,8,66,3,41.782654072452225,-87.69326383995765,"(41.782654072452225, -87.69326383995765)"
09/10/2015,Completed,09/14/2015,15-04705744,Graffiti Removal,Brick - Unpainted,Rear,2028 W COULTER ST,60608,1163218.73640563,1888318.74809206,25,10,31,,41.84913741166435,-87.67691512409802,"(41.84913741166435, -87.67691512409802)"
09/10/2015,Completed,09/10/2015,15-04696176,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1431 N MILWAUKEE AVE,60622,1163835.46126805,1909718.73160469,1,14,24,33,41.90797060799855,-87.67347639535005,"(41.90797060799855, -87.67347639535005)"
09/10/2015,Completed,09/10/2015,15-04694467,Graffiti Removal,Metal - Unpainted,Pole,4554 N WESTERN AVE,60625,1159550.47998903,1930160.7879043,47,19,4,21,41.964778269074834,-87.68893505770349,"(41.964778269074834, -87.68893505770349)"
09/10/2015,Completed,09/10/2015,15-04695523,Graffiti Removal,Metal - Painted,Pole,1617 W 18TH PL,60608,1165808.33226866,1891136.41050179,25,12,31,,41.856754311863945,-87.66697169932165,"(41.856754311863945, -87.66697169932165)"
09/10/2015,Completed,09/10/2015,15-04695522,Graffiti Removal,Metal - Painted,Dumpster,2858 N ALBANY AVE,60618,1155215.85740275,1918843.12030194,33,14,21,,41.93377959708985,-87.70517295152987,"(41.93377959708985, -87.70517295152987)"
09/10/2015,Completed,09/10/2015,15-04694485,Graffiti Removal,Metal - Unpainted,Sign,4659 N DAMEN AVE,60625,1162168.04478941,1931019.16006887,47,19,4,31,41.96687641127147,-87.67898427182719,"(41.96687641127147, -87.67898427182719)"
09/10/2015,Completed,09/10/2015,15-04694464,Graffiti Removal,Metal - Painted,Pole,3755 W IRVING PARK RD,60618,1150557.90823122,1926323.73203337,45,17,16,,41.95361828019167,-87.72248987949342,"(41.95361828019167, -87.72248987949342)"
09/10/2015,Completed,09/10/2015,15-04694437,Graffiti Removal,Metal - Painted,Pole,4201 W IRVING PARK RD,60641,1147679.29003129,1926253.1711131,45,17,16,,41.95348601394406,-87.73254565491715,"(41.95348601394406, -87.73254565491715)"
09/10/2015,Completed,09/10/2015,15-04708190,Graffiti Removal,Metal - Painted,Pole,1259 W 18TH ST,60608,1168183.33270814,1891541.02758329,25,12,31,,41.85780174099287,-87.6588123070099,"(41.85780174099287, -87.6588123070099)"
09/10/2015,Completed,09/10/2015,15-04694455,Graffiti Removal,Metal - Painted,Front,4023 W IRVING PARK RD,60641,1148910.43677118,1926279.45989102,45,17,16,,41.953532764597576,-87.72823925989408,"(41.953532764597576, -87.72823925989408)"
09/10/2015,Completed,09/10/2015,15-04694449,Graffiti Removal,Metal - Painted,Traffic Control Box,4019 W IRVING PARK RD,60641,1148927.93677118,1926279.85989102,45,17,16,,41.953533599746876,-87.72814033787567,"(41.953533599746876, -87.72814033787567)"
09/10/2015,Completed,09/10/2015,15-04694445,Graffiti Removal,Metal - Painted,Pole,3957 N KEELER AVE,60641,1147698.39003129,1925973.3711131,45,17,16,,41.95345197064476,-87.73232278083482,"(41.95345197064476, -87.73232278083482)"
